                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2395,                 2.6985,                 1.4631,                 0.0164,                      1,                0.87689,                0.67946,                0.55433,                 2.2566,                0.84573,                0.00016,                0.00016,                0.00016
                      2,                0.69709,                 1.2381,                 1.0269,                0.96352,                0.98878,                0.97876,                0.83785,                0.58868,                 1.2387,                0.83478,             0.00033663,             0.00033663,             0.00033663
                      3,                0.59342,                0.69741,                0.96469,                 0.9774,                0.69375,                0.88756,                0.76003,                0.67281,                 1.6099,                0.94158,              0.0005097,              0.0005097,              0.0005097
                      4,                0.53379,                 0.6158,                0.93675,                 0.9131,                0.95526,                0.96768,                0.85386,                0.51043,                0.84737,                0.79772,             0.00067921,             0.00067921,             0.00067921
                      5,                0.53091,                0.59998,                0.94105,                0.96268,                0.98396,                0.97341,                0.85484,                0.53376,                0.77527,                0.80154,             0.00084515,             0.00084515,             0.00084515
                      6,                 0.5779,                0.61884,                0.95635,                0.96517,                0.97326,                0.98188,                0.83996,                0.56802,                0.86088,                0.81277,              0.0010075,              0.0010075,              0.0010075
                      7,                0.53797,                0.56386,                0.93918,                0.95927,                0.98396,                 0.9823,                0.85404,                0.50944,                0.70585,                0.81056,              0.0011663,              0.0011663,              0.0011663
                      8,                0.54409,                0.56987,                0.94359,                0.95756,                0.96525,                0.97599,                0.81259,                0.58562,                0.78961,                0.80678,              0.0013216,              0.0013216,              0.0013216
                      9,                0.55236,                0.52732,                0.93605,                0.98023,                0.99465,                0.98214,                0.87656,                0.49324,                0.55299,                0.77363,              0.0014733,              0.0014733,              0.0014733
                     10,                0.57676,                 0.5438,                0.95048,                0.95337,                0.98392,                 0.9829,                0.86109,                0.53481,                0.68492,                0.80125,              0.0016214,              0.0016214,              0.0016214
                     11,                0.54053,                0.51211,                0.92772,                0.93932,                      1,                0.98259,                0.80275,                0.67707,                0.67656,                0.86878,               0.001766,               0.001766,               0.001766
                     12,                0.52809,                0.51224,                0.94207,                0.89689,                0.97683,                0.96137,                0.69598,                0.80353,                0.84584,                 1.0994,              0.0017822,              0.0017822,              0.0017822
                     13,                0.51018,                 0.4892,                0.92163,                0.98113,                0.97326,                0.98021,                0.85976,                0.49231,                0.59302,                0.78794,              0.0017624,              0.0017624,              0.0017624
                     14,                0.51005,                0.47227,                0.91988,                0.97396,                0.99993,                0.98136,                0.89424,                0.42835,                0.46934,                0.77292,              0.0017426,              0.0017426,              0.0017426
                     15,                 0.5105,                0.47622,                0.92023,                0.97901,                0.99782,                0.98335,                0.87736,                0.49474,                0.49996,                0.80192,              0.0017228,              0.0017228,              0.0017228
                     16,                0.49511,                0.46268,                0.91433,                0.97858,                      1,                 0.9818,                0.89165,                0.42139,                0.47071,                0.75312,               0.001703,               0.001703,               0.001703
                     17,                0.48347,                0.44142,                0.90822,                0.97357,                0.97861,                0.97892,                0.90373,                0.41026,                0.49902,                0.75764,              0.0016832,              0.0016832,              0.0016832
                     18,                0.48588,                0.43508,                0.91936,                0.92745,                0.95712,                0.96063,                0.81237,                 0.5066,                0.64694,                0.84538,              0.0016634,              0.0016634,              0.0016634
                     19,                0.48118,                0.42162,                0.90533,                0.95259,                 0.9893,                0.97734,                0.85517,                0.49416,                0.52634,                0.81745,              0.0016436,              0.0016436,              0.0016436
                     20,                0.49921,                0.43174,                0.91197,                0.98418,                0.99808,                0.98711,                0.88846,                 0.4627,                0.43596,                0.78376,              0.0016238,              0.0016238,              0.0016238
                     21,                 0.4736,                0.42667,                0.90139,                0.95909,                0.99465,                0.97851,                0.88074,                0.44048,                0.44649,                0.77887,               0.001604,               0.001604,               0.001604
                     22,                0.46461,                0.40651,                 0.9063,                0.96051,                      1,                 0.9747,                0.88771,                0.42908,                0.45078,                0.77187,              0.0015842,              0.0015842,              0.0015842
                     23,                0.43479,                0.38283,                0.89479,                0.97191,                      1,                0.98022,                0.89874,                0.43632,                0.40912,                0.76991,              0.0015644,              0.0015644,              0.0015644
                     24,                0.46417,                0.38776,                0.90323,                0.98355,                      1,                0.98221,                0.91397,                0.39506,                0.37888,                0.75894,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.4533,                0.37929,                0.88512,                0.97888,                      1,                 0.9823,                0.87258,                0.45616,                 0.4205,                0.78539,              0.0015248,              0.0015248,              0.0015248
                     26,                0.47336,                0.38184,                0.89878,                0.98316,                      1,                0.98237,                0.90117,                0.41644,                0.40758,                0.77362,               0.001505,               0.001505,               0.001505
                     27,                0.45075,                0.37578,                0.90019,                0.98158,                      1,                0.98079,                0.88935,                 0.4204,                 0.4013,                0.77123,              0.0014852,              0.0014852,              0.0014852
                     28,                0.42923,                0.36232,                0.88998,                 0.9827,                      1,                0.97968,                0.86974,                0.49266,                0.38657,                0.79006,              0.0014654,              0.0014654,              0.0014654
                     29,                0.46429,                0.36465,                0.89202,                0.98205,                      1,                0.98016,                0.89887,                0.40882,                0.35223,                0.75288,              0.0014456,              0.0014456,              0.0014456
                     30,                0.44064,                0.35539,                0.89685,                0.98311,                      1,                0.98779,                0.90576,                0.43753,                0.35172,                0.76025,              0.0014258,              0.0014258,              0.0014258
                     31,                0.43624,                0.35011,                0.89727,                0.97757,                      1,                0.98429,                0.90476,                0.40339,                0.37883,                0.76306,               0.001406,               0.001406,               0.001406
                     32,                 0.4341,                0.35384,                0.89086,                0.96967,                      1,                0.98284,                0.88865,                0.43586,                 0.4118,                0.77662,              0.0013862,              0.0013862,              0.0013862
                     33,                0.43987,                0.35748,                0.90679,                0.97893,                0.99378,                0.98509,                0.89876,                0.40998,                0.39304,                0.76203,              0.0013664,              0.0013664,              0.0013664
                     34,                0.42093,                0.34575,                0.88526,                0.97713,                      1,                0.98438,                0.90887,                0.39934,                0.35943,                0.76217,              0.0013466,              0.0013466,              0.0013466
                     35,                0.43545,                0.34616,                0.89243,                0.98172,                      1,                0.98016,                0.90212,                0.39108,                0.36623,                0.75007,              0.0013268,              0.0013268,              0.0013268
                     36,                0.42204,                0.34228,                0.88139,                0.98249,                      1,                0.98395,                0.89645,                0.39268,                0.35606,                0.75164,               0.001307,               0.001307,               0.001307
                     37,                0.41396,                0.33111,                 0.8721,                0.97773,                      1,                0.98334,                0.90218,                0.41793,                0.33367,                 0.7611,              0.0012872,              0.0012872,              0.0012872
                     38,                0.43244,                0.33556,                0.88737,                0.98358,                      1,                0.98607,                0.91744,                0.38579,                0.30606,                0.75159,              0.0012674,              0.0012674,              0.0012674
                     39,                0.41611,                0.31998,                0.87943,                0.98259,                      1,                0.98793,                0.90975,                0.41575,                 0.3351,                0.75962,              0.0012476,              0.0012476,              0.0012476
                     40,                0.40821,                0.31195,                0.87681,                0.98357,                      1,                0.98867,                0.91412,                0.39452,                0.31075,                0.75443,              0.0012278,              0.0012278,              0.0012278
                     41,                0.41772,                0.32555,                0.88733,                0.98243,                      1,                0.98624,                0.90507,                0.39444,                0.30142,                0.75912,               0.001208,               0.001208,               0.001208
                     42,                0.41557,                0.31449,                0.88323,                0.98256,                      1,                0.98617,                0.90968,                0.39854,                0.31576,                0.77118,              0.0011882,              0.0011882,              0.0011882
                     43,                0.40048,                 0.3154,                0.87183,                0.97862,                      1,                0.99155,                0.90294,                0.43652,                0.31872,                0.77128,              0.0011684,              0.0011684,              0.0011684
                     44,                0.42019,                0.31278,                0.88689,                0.97885,                0.99014,                0.98531,                0.91356,                0.39816,                0.32326,                0.75874,              0.0011486,              0.0011486,              0.0011486
                     45,                0.38297,                0.31115,                0.87453,                 0.9838,                      1,                0.98111,                0.90515,                0.41074,                0.32778,                0.77069,              0.0011288,              0.0011288,              0.0011288
                     46,                0.39846,                0.31011,                0.88032,                0.98368,                      1,                  0.983,                0.91472,                0.38551,                0.30387,                0.77012,               0.001109,               0.001109,               0.001109
                     47,                0.38931,                0.30564,                0.87428,                0.98331,                      1,                0.98941,                0.91234,                0.39121,                 0.3051,                0.78061,              0.0010892,              0.0010892,              0.0010892
                     48,                0.38431,                0.29915,                0.86461,                0.98366,                      1,                0.99308,                0.92849,                0.37338,                0.29916,                0.75357,              0.0010694,              0.0010694,              0.0010694
